name,Класс,class_key,Предполагаемый
Middle Manual QA specialist,QA,0,10
QA Automation Engineer (Python),QA,0,5
Тестировщик,QA,0,6
Senior QA Automation Engineer (java),QA,0,10
QA Engineer/DevOps (Тестировщик ПО),QA,0,10
Функциональный тестировщик/QA,QA,0,6
Lead QA engineer (St. Petersburg),QA,0,5
QA Lead,QA,0,5
QA инженер/Автотестировщик C# (middle/senior),QA,0,10
Python QA Developer,QA,0,10
QA-специалист (Тестировщик),QA,0,10
QA-инженер (Интернет-эквайринг),QA,0,5
Тестировщик - автоматизатор,QA,0,6
QA инженер,QA,0,5
Функциональный тестировщик,QA,0,11
QA-инженер,QA,0,10
QA Specialist (Casual),QA,0,10
Старший системный администратор,Сети,12,6
Системный администратор,Сети,12,6
Администратор проектов (Менеджер проектов),Сети,12,6
Администратор,Сети,12,6
Дежурный системный администратор технической поддержки,Сети,12,5
Администратор проекта,Сети,12,6
Системный аналитик,Сети,12,6
Системный администратор Linux,Сети,12,12
Системный аналитик (Голосовые роботы),Сети,12,11
Системный аналитик DataLab,Сети,12,12
Системный администратор,Сети,12,6
Системный администратор 1С,Сети,12,11
Системный разработчик,Сети,12,11
Старший системный аналитик,Сети,12,6
System Analyst/Системный аналитик,Сети,12,5
Системный администратор/Инженер (Техническая поддержка/Helpdesk),Сети,12,6
Старший системный администратор,Сети,12,11
Системный аналитик,Сети,12,6
Администратор проектов,Сети,12,5
Системный администратор WEB серверов,Сети,12,12
Старший системный аналитик,Сети,12,12
Системный аналитик,Сети,12,6
Системный архитектор,Сети,12,11
Системный аналитик,Сети,12,6
Администратор баз данных MS SQL,Сети,12,10
Системный аналитик (Корпоративное страхование),Сети,12,6
Ведущий системный аналитик (промышленная автоматизация),Сети,12,10
Системный аналитик software (удалённо),Сети,12,11
"Системный администратор СХД, РК",Сети,12,11
Системный аналитик (POS и Программа Лояльности),Сети,12,12
Системный инженер,Сети,12,6
Системный аналитик BPM,Сети,12,11
Системный инженер (Москва),Сети,12,12
Администратор систем виртуализации / системный администратор,Сети,12,6
Администратор баз данных (IBM DB2 LUW DBA),Сети,12,5
Администратор баз данных (Postgres),Сети,12,10
Системный аналитик,Сети,12,6
Администратор 1С [id61341],Сети,12,5
Системный аналитик,Сети,12,6
"Администратор (Гагарина, 33, пер. Сызранский,15)",Сети,12,6
Системный аналитик (MS Dynamics),Сети,12,11
Системный аналитик,Сети,12,11
Системный аналитик ЦФТ,Сети,12,12
Сетевой инженер,Сети,12,6
Системный аналитик,Сети,12,11
Администратор баз данных / Data Engineer [id 80421],Сети,12,5
Системный администратор,Сети,12,12
Администратор проектов,Сети,12,5
Системный Администратор / Администратор БД,Сети,12,11
Системный аналитик,Сети,12,12
Системный аналитик (офис\удаленно),Сети,12,11
Администратор сайта (программист/разработчик),Сети,12,6
Бизнес/Системный аналитик (remote),Сети,12,5
Системный администратор,Сети,12,6
Системный администратор,Сети,12,6
Системный администратор,Сети,12,6
Системный администратор,Сети,12,6
Монтажник,Монтаж,7,6
"Техник (систем СОТ, СКС и СКУД)",Монтаж,7,6
Монтажник объектов связи,Монтаж,7,6
Мастер по ремонту компьютеров,Монтаж,7,6
Мастер по обслуживанию абонентов,Монтаж,7,6
Выездной компьютерный мастер,Монтаж,7,6
Scrum-мастер/SDM,Монтаж,7,5
BIM мастер (компания-застройщик),Монтаж,7,10
Выездной Компьютерный Мастер,Монтаж,7,6
Техник слаботочных систем,Монтаж,7,6
Монтажник ВОЛС,Монтаж,7,6
Мастер по Ремонту Телевизоров,Монтаж,7,6
Монтажник ЖБК,Монтаж,7,6
Монтажник (подключение к Интернету),Монтаж,7,6
Техник аварийно-восстановительных работ,Монтаж,7,6
Монтажник ВОЛС,Монтаж,7,6
"Монтажник слаботочных систем (Эльмаш, Уралмаш)",Монтаж,7,6
"Руководитель проектов ИТ ERP, г. Ревда",Руководство,11,6
Управляющий офисом,Руководство,11,6
Руководитель группы разработки Центра внедрения и сопровождения,Руководство,11,12
Технический руководитель проектов 1С (системный архитектор),Руководство,11,11
Руководитель бригады-измеритель,Руководство,11,6
Руководитель проектов / Middle,Руководство,11,6
Руководитель проектов,Руководство,11,6
Руководитель отдела корпоративных продаж,Руководство,11,6
Руководитель IT проектов,Руководство,11,11
Руководитель IT направления,Руководство,11,11
Руководитель отдела ИТ/ Руководитель проектов внедрения 1С,Руководство,11,11
Руководитель Группы поддержки пользователей на местах,Руководство,11,6
Руководитель направления маркетинга (в г. Набережные Челны),Руководство,11,6
Руководитель группы развития продаж инфраструктурных решений,Руководство,11,6
Руководитель проектного офиса,Руководство,11,6
"Руководитель программы проектов по WMS (субхолдинг ""Переработка молока""), г.Ижевск",Руководство,11,11
Руководитель отдела внедрения 1C ERP,Руководство,11,11
Руководитель отдела эксплуатации бизнес приложений,Руководство,11,6
Руководитель программы проектов (1С) в г. Ижевск,Руководство,11,6
Руководитель группы поддержки закупок и продаж (в сфере ИТ),Руководство,11,11
Руководитель Группы внедрения (хранилище данных),Руководство,11,6
Руководитель отдела Data Science & Analytics в г. Казань,Руководство,11,11
Руководитель проектов в ИТ,Руководство,11,6
Руководитель проекта по управлению бизнес-процессами бухгалтерского обслуживания,Руководство,11,11
Управляющий розничной сетью,Руководство,11,11
Руководитель отдела разработки,Руководство,11,6
Начальник отделения почтовой связи,Руководство,11,6
Руководитель группы технической поддержки,Руководство,11,6
Руководитель проектов по информационной безопасности,Руководство,11,6
Руководитель интернет-магазина,Руководство,11,6
Руководитель по развитию региона,Руководство,11,6
Начальник участка,Руководство,11,6
Руководитель отдела продаж / РОП,Руководство,11,11
Руководитель по развитию каналов продаж (b2b),Руководство,11,6
Руководитель IT проектов,Руководство,11,6
Руководитель IT-отдела,Руководство,11,11
Преподаватель курсов VmWare(тренер),Преподавание,9,6
Преподаватель по программированию,Преподавание,9,6
Учитель робототехники,Преподавание,9,6
Младший QA инженер,Начало карьеры,8,6
Angular junior разработчик,Начало карьеры,8,1
Стажер по автотестированию,Начало карьеры,8,6
Junior DevOps Engineer,Начало карьеры,8,5
Junior QA Automation Engineer,Начало карьеры,8,8
Стажер-разработчик АВАР,Начало карьеры,8,12
Младший программист 1С 8.3 (Среднеуральск),Начало карьеры,8,6
DevOps стажер (удалённо),Начало карьеры,8,5
Младший аналитик 1С (Бухгалтерский и налоговый учет),Начало карьеры,8,6
Младший разработчик RPA,Начало карьеры,8,6
"Junior, Middle DevOps engineer (Вьетнам, Удаленно)",Начало карьеры,8,5
Младший разработчик Центра внедрения и сопровождения Департамента аналитических систем,Начало карьеры,8,12
Стажер SAP FM,Начало карьеры,8,6
Scala junior разработчик,Начало карьеры,8,10
Оператор call-центра (удаленно),Звонки,4,6
Копирайтер,Другое,3,6
Главный энергетик,Другое,3,6
Technical Support Specialist,Другое,3,3
Оператор группы ввода данных Маркета,Другое,3,6
Директор IT-отдела,Другое,3,6
Оператор станка с ЧПУ,Другое,3,6
Тимлид в команду поддержки,Другое,3,6
Head of Sales in IT Outsourcing company,Другое,3,10
Delivery Manager,Другое,3,5
Асессор (юриспруденция),Другое,3,6
System Analyst,Другое,3,10
Product Owner,Другое,3,5
Заместитель директора в отдел аудитов по информационной безопасности,Другое,3,5
Наладчик станков с ЧПУ,Другое,3,6
Наладчик станков с ЧПУ,Другое,3,6
Оператор колл-центра в отдел заботы о клиентах,Другое,3,6
Оператор ЧПУ плазменная резка (г. Елабуга),Другое,3,6
"Оператор станка с ЧПУ (листогибочный станок, г. Елабуга)",Другое,3,6
Контент-редактор,Другое,3,10
Team Lead группы сопровождения,Другое,3,6
DevOps Engineer (удаленно),Другое,3,1
Директор салона сотовой связи (район ВИЗ),Другое,3,6
IT Project Manager (г. Казань),Другое,3,5
Project Manager в Neattech.io,Другое,3,5
Senior Software Projects Manager,Другое,3,10
Заместитель начальника ОПС,Другое,3,6
PHP Team lead,Другое,3,5
Рекрутер дистанционно,Другое,3,6
Старший SMM–менеджер,Другое,3,6
DevOps Engineer,Другое,3,10
Game Designer Balance (Casual),Другое,3,10
Директор по E-Commerce,Другое,3,6
Quality engineer,Другое,3,6
Проектировщик пользовательских интерфейсов (UI/UX),Другое,3,6
"Team Lead (Frontend, Canvas Widgets)",Другое,3,10
Product Owner,Другое,3,5
Электрослесарь в ТЦ Глобус,Другое,3,6
Программиста ORACLE (PL/SQL),Другое,3,6
Data Engineer,Другое,3,10
Data Leakage Protection Analyst \ Security officer (IT),Другое,3,1
Middle/Senior Systems Analyst (remote),Другое,3,5
Teamlead команды разработки,Другое,3,10
Senior DevOps Engineer,Другое,3,10
Remote Product Manager,Другое,3,10
Team Lead Data Scientist в Контур.Фокус,Другое,3,6
Design Manager DWDM (Moscow),Другое,3,10
Art Lead (Match-3),Другое,3,10
FX Artist / Animator (2D),Другое,3,5
Senior DevOps Engineer (AWS),Другое,3,10
Information Security Manager,Другое,3,5
Data Engineer (Руководитель направления),Другое,3,5
Technical Lead Unity (Hyper Casual),Другое,3,10
Project Manager IT,Другое,3,10
Architect (O365),Другое,3,5
DevOps Specialist,Другое,3,1
Senior Data Scientist в NLP лабораторию,Другое,3,10
HR Manager,Другое,3,10
Java Team Lead (Remote),Другое,3,5
HR Head,Другое,3,10
HR Business Partner,Другое,3,10
Business Analyst (remote),Другое,3,10
Senior DevOps engineer (St. Petersburg/Remote),Другое,3,5
Recruiter (Hyper Casual Games),Другое,3,5
DevOps Engineer (remote),Другое,3,10
"Автотестировщик (Selenium, Java)",Другое,3,6
"Project Manager, Growth Team",Другое,3,5
Team lead Go (Golang),Другое,3,10
Lead DevOps Engineer (Azure),Другое,3,10
Analyst CRM,Другое,3,10
Оператор на телефоне,Другое,3,6
Software engineer,Другое,3,5
Супервайзер группы прямых продаж,Другое,3,6
Scrum Master (Скрам-мастер) в Казань,Другое,3,5
Affiliate manager/Publisher manager,Другое,3,10
Архитектор SharePoint,Другое,3,6
System Team Lead,Другое,3,10
Senior Business Analyst,Другое,3,10
Game Designer/Product Owner (Hyper Casual),Другое,3,5
BIM-координатор (федеральная компания),Другое,3,1
Senior Product analyst,Другое,3,10
Архитектор CRM,Другое,3,10
Project Manager (IT),Другое,3,5
Project Team Lead (Casual),Другое,3,7
Data Scientist,Другое,3,5
SAP Basis Engineer,Другое,3,5
Архитектор Центра внедрения и сопровождения Департамента аналитических систем,Другое,3,6
Service Manager,Другое,3,5
IT Marketing Manager,Другое,3,10
Исполнительный директор /Коммерческий директор,Другое,3,11
Директор проектного офиса,Другое,3,6
Senior Product Manager (Canvas),Другое,3,10
Торговый представитель,Другое,3,6
Java dev,Другое,3,5
Radio Network Optimization Engineer (Novosibirsk city),Другое,3,10
Оператор-наладчик станков с ЧПУ,Другое,3,6
"Support engineer (L2, remote)",Другое,3,5
Наладчик станков с ЧПУ,Другое,3,6
Директор проектов в сфере облачных технологий,Другое,3,6
Data scientist (NLP),Другое,3,1
Инсталлятор по подключению Интернета и TV,Другое,3,6
Автор/копирайтер (редактор),Другое,3,5
Координатор сервисной службы,Другое,3,6
Ведущий экономист в отдел повышения качества сервисов,Другое,3,6
Ведущий энергетик,Другое,3,6
Оператор-Наладчик станков с ЧПУ,Другое,3,6
BIM-координатор (авторское проектное бюро),Другое,3,10
Data analyst,Другое,3,5
Асессор в Маркет,Другое,3,5
Оператор видеонаблюдения,Другое,3,6
Межрегиональный технический директор Урала,Другое,3,6
Региональный представитель (г. Екатеринбург),Другое,3,6
Директор IT,Другое,3,6
Асессор (психология и психиатрия),Другое,3,6
Ученик компьютерного мастера,Другое,3,6
Таргетолог (удаленно),Другое,3,6
Модератор комментариев,Другое,3,6
